recipe_urls,recipe_name,ingredients
https://www.jamieoliver.com/recipes/pork-recipes/tomato-red-wine-chorizo-risotto/,"Tomato, red wine & chorizo risotto","['shallot', 'chorizo', 'chicken vegetable stock', 'plum tomato', 'risotto rice', 'wine', 'parmesan cheese']"
https://www.jamieoliver.com/recipes/stew-recipes/venison-shanks-juniper-amp-redcurrants/,"Venison shanks, juniper & redcurrants","['venison shank', 'juniper berry', 'butter', 'onion', 'celery', 'redcurrants', 'wine', 'beef stock']"
https://www.jamieoliver.com/recipes/vegetables-recipes/roasted-brassicas-with-puy-lentils-halloumi/,Roasted brassicas with puy lentils & halloumi,"['broccoli cauliflower', 'baharat', 'puy lentil', 'vegetable stock', 'lemon', 'walnut', 'halloumi cheese']"
https://www.jamieoliver.com/recipes/fish-recipes/quick-fish-cakes/,Quick fish cakes,"['haddock pollock', 'mari piper', 'flour', 'chive', 'mayonnaise made using egg']"
https://www.jamieoliver.com/recipes/fish-recipes/asian-salmon-sweet-potato-traybake/,Asian salmon & sweet potato traybake,"['potato', 'lemongrass', 'sesame', 'vegetable stock', 'coconut milk', 'lime lime', 'salmon', 'soy']"
https://www.jamieoliver.com/recipes/vegetables-recipes/sliced-fennel-orange-almond-salad/,"Sliced fennel, orange & almond salad",['orange']
https://www.jamieoliver.com/recipes/vegetables-recipes/roasted-squash-couscous-salad/,Roasted squash & couscous salad,"['butternut squash', 'couscous', 'pumpkin', 'lemon']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-in-a-pot/,Chicken in a pot,"['tomato', 'onion', 'chickpea', 'chicken', 'chicken stock', 'potato']"
https://www.jamieoliver.com/recipes/rice-recipes/wild-rice-salad/,Wild rice salad,['apricot']
https://www.jamieoliver.com/recipes/beef-recipes/mash-topped-beef-guinness-pie/,Mash-topped beef & Guinness pie,"['onion', 'carrot', 'celery', 'stewing beef', 'flour', 'guinness', 'sugar', 'potato', 'milk', 'butter']"
https://www.jamieoliver.com/recipes/seafood-recipes/thai-style-mussels/,Thai-style mussels,"['mussel', 'onion', 'lemongrass', 'reduced coconut milk', 'fish', 'lime']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-milanese-with-spaghetti/,Chicken milanese with spaghetti,"['plum tomato', 'chicken breast', 'flour', 'egg', 'parmesan cheese', 'spaghetti']"
https://www.jamieoliver.com/recipes/pasta-recipes/tomato-caper-linguine/,Tomato & caper linguine,"['linguine', 'tomato passata', 'lemon', 'parmesan cheese']"
https://www.jamieoliver.com/recipes/beef-recipes/black-blushing-worcestershire-fillet/,Black & blushing Worcestershire fillet,"['fillet steak', 'drizzling', 'drizzle', 'cook', 'butter', 'flower']"
https://www.jamieoliver.com/recipes/chicken-recipes/spring-chicken-pie/,Spring chicken pie,"['lemon', 'jersey royal', 'tarragon', 'chicken thigh', 'butter', 'flour', 'chicken stock', 'sheet filo pastry']"
https://www.jamieoliver.com/recipes/lamb-recipes/lamb-chickpea-curry/,Lamb & chickpea curry,"['lamb', 'madras curry', 'onion', 'curry', 'chickpea', 'vegetable stock', 'plum tomato', 'coconut milk', 'spinach']"
https://www.jamieoliver.com/recipes/vegetables-recipes/minestrone-soup/,Minestrone soup,"['onion', 'carrot', 'celery', 'courgette', 'leek', 'potato', 'cannellini bean', 'bacon', 'plum tomato', 'vegetable stock', 'seasonal savoy curly chard', 'wholemeal pasta', 'parmesan cheese']"
https://www.jamieoliver.com/recipes/chicken-recipes/roast-chicken-with-potatoes-carrots/,Roast chicken with potatoes & carrots,"['carrot', 'potato', 'chicken', 'lemon']"
https://www.jamieoliver.com/recipes/fish-recipes/salmon-pesto-dressed-veg/,Salmon & pesto-dressed veg,"['potato', 'bean', 'tenderstem broccoli', 'salmon scaled', 'pesto', 'parmesan cheese', 'lemon']"
https://www.jamieoliver.com/recipes/vegetables-recipes/veggie-noodle-stir-fry/,Veggie noodle stir-fry,"['rice noodle', 'onion', 'broccoli', 'tofu', 'carrot', 'cashew', 'vegetable', 'mangetout', 'spinach', 'lime', 'soy']"
https://www.jamieoliver.com/recipes/eggs-recipes/simple-cheese-omelette/,Simple cheese omelette,"['egg', 'cheddar cheese']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-broth-with-tortellini/,Chicken broth with tortellini,"['lemon', 'chicken', 'carrot', 'pea', 'broad bean', 'asparagus spear', 'tortellini', 'tipo', 'egg', 'chicken stock', 'tarragon', 'parmesan']"
https://www.jamieoliver.com/recipes/pasta-recipes/christmas-carbonara/,Christmas carbonara,"['tagliatelle', 'mushroom', 'parmesan cheese', 'chive', 'egg yolk', 'creme fraiche', 'ham']"
https://www.jamieoliver.com/recipes/pork-recipes/bean-curd-with-lau-s-spicy-ma-po-sauce/,Bean curd with Lau’s spicy Ma Po sauce,"['pork', 'shiitake mushroom', 'sichuan preserved vegetable', 'vegetable', 'shaoxing wine', 'chicken stock', 'oyster', 'onion', 'marinade', 'vegetable', 'potato flour cornflour', 'sugar', 'ma po bean curd', 'bean curd', 'sugar', 'soy', 'tablepsoon cornflour', 'ma po', 'tablespooons bean', 'vegetable', 'sich', 'onion', 'eye', 'shallot', 'bean paste', 'oyster', 'sugar']"
https://www.jamieoliver.com/recipes/cheese-recipes/griddled-vegetables-feta-with-tabbouleh/,Griddled vegetables & feta with tabbouleh,"['onion', 'aubergine', 'feta cheese', 'courgette mixture', 'tomato', 'pistachio', 'tabbouleh', 'cracked wheat', 'cucumber', 'lemon']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-wings-agrodolce-style/,"Chicken wings, agrodolce-style","['onion', 'chicken wing', 'raisin', 'plum tomato']"
https://www.jamieoliver.com/recipes/chicken-recipes/southern-italian-style-chicken/,Southern Italian-style chicken,"['onion', 'tesapoon', 'chicken thigh', 'drumstick', 'plum tomato', 'preserved lemon', 'tomato', 'couscous']"
https://www.jamieoliver.com/recipes/chicken-recipes/jamie-s-sweet-sour-chicken/,Jamie's sweet & sour chicken,"['chicken', 'chinese five', 'onion', 'plum', 'rice wine', 'soy', 'sesame', 'egg noodle', 'sugar snap pea mangetout', 'spinach', 'jasmine tea bag', 'lime']"
https://www.jamieoliver.com/recipes/vegetables-recipes/roasted-root-vegetable-amp-squash-stew-with-herby-couscous/,Roasted root vegetable & squash stew with herby couscous,"['butternut squash', 'potato', 'carrot', 'celeriac', 'wine', 'onion', 'flour', 'tomato puree', 'plum tomato', 'vegetable stock', 'herby couscous', 'couscous', 'lemon']"
https://www.jamieoliver.com/recipes/uncategorised-recipes/salt-pepper-tofu-skewers/,Salt & pepper tofu skewers,"['shallot', 'onion', 'szechuan', 'soy', 'sugar', 'tofu', 'cucumber', 'rice wine']"
https://www.jamieoliver.com/recipes/fish-recipes/sri-lankan-style-monkfish-curry/,Sri Lankan-style monkfish curry,"['monkfish deboned do this', 'lime', 'rice', 'coconut milk', 'onion', 'vine', 'curry', 'fenugreek', 'paste syrup']"
https://www.jamieoliver.com/recipes/vegetables-recipes/baked-sweet-potatoes-avocado-queso-fresco/,"Baked sweet potatoes, avocado & queso fresco","['potato', 'avocado', 'lime', 'pumpkin', 'mexican queso fresco spanish manchego']"
https://www.jamieoliver.com/recipes/fish-recipes/lemon-sole-with-chipotle-ancho-chilli-recado/,Lemon sole with chipotle & ancho chilli recado,"['lemon sole dab fillet', 'lime', 'chipotle ancho recado', 'chipotle', 'ancho', 'lime', 'chunky avocado tomato salad', 'tomato', 'lebanese cucumber', 'onion', 'avocado', 'lime']"
https://www.jamieoliver.com/recipes/chicken-recipes/chilli-chicken-with-drunken-pinto-beans/,Chilli chicken with drunken pinto beans,"['chicken butterflied butcher do', 'adobo recado', 'plum tomato', 'chipotle', 'guajillo', 'ancho', 'allspice berry', 'lime', 'drunken pinto bean', 'onion', 'jalapeno', 'plum tomato', 'pinto bean', 'lager mexican depending preference']"
https://www.jamieoliver.com/recipes/chicken-recipes/spring-chicken-citrus-stew/,Spring chicken & citrus stew,"['chicken', 'onion', 'leek', 'asparagus spear', 'pea', 'broad bean', 'tarragon', 'chicken stock', 'cannellini bean', 'lemon', 'egg', 'yoghurt', 'parmesan cheese']"
https://www.jamieoliver.com/recipes/vegetables-recipes/simple-veggie-tofu-stir-fry/,Simple veggie & tofu stir-fry,"['cashew', 'sesame', 'tofu', 'cornflour', 'vegetable', 'onion', 'broccoli', 'sweetcorn', 'sweetcorn', 'lime', 'soy']"
https://www.jamieoliver.com/recipes/chicken-recipes/mustard-chicken-milanese/,Mustard chicken Milanese,"['chicken breast', 'mature cheddar cheese', 'ham', 'flour', 'egg', 'eating apple', 'beetroot', 'cornichons']"
https://www.jamieoliver.com/recipes/fish-recipes/red-mullet-with-jewelled-wild-rice/,Red mullet with jewelled wild rice,"['mullet scaled', 'lemon', 'pancetta', 'jewelled rice', 'rice', 'pomegranate', 'lemon', 'tapenade', 'blanched', 'sundried tomato']"
https://www.jamieoliver.com/recipes/seafood-recipes/fried-clams-with-thai-noodles/,Fried clams with Thai noodles,"['clam', 'rice noodle', 'galangal', 'shallot', 'eye', 'paste', 'kaffir lime', 'rice', 'fish', 'lime']"
https://www.jamieoliver.com/recipes/pork-recipes/ham-peas/,Ham & peas,"['ham hock', 'leek', 'celery', 'carrot', 'pearl barley', 'chicken stock', 'pea', 'curly']"
https://www.jamieoliver.com/recipes/vegetables-recipes/yellow-split-pea-aubergine-stew/,Yellow split pea & aubergine stew,"['thread', 'onion', 'tomato puree', 'vegetable', 'tomato', 'pea', 'lime', 'aubergine', 'butter', 'barberry']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-spring-green-bun-cha/,Chicken & spring green bun cha,"['edamame bean', 'lemongrass', 'sesame', 'soy', 'hoisin', 'lime', 'chicken thigh', 'rice wine', 'packet vermicelli', 'shallot', 'onion', 'vegetable', 'spinach', 'broad bean']"
https://www.jamieoliver.com/recipes/fish-recipes/salmon-with-rhubarb-sauce-tarragon-mayo/,Salmon with rhubarb sauce & tarragon mayo,"['salmon', 'onion', 'carrot', 'celery', 'pink', 'each chervil', 'pickled onion', 'onion', 'wine', 'rhubarb', 'forced rhubarb', 'eating apple', 'wine', 'orange', 'mayonnaise', 'tarragon', 'mixture vegetable work', 'egg yolk', 'wine', 'lemon']"
https://www.jamieoliver.com/recipes/chicken-recipes/super-simple-chicken-curry-traybake/,Super-simple chicken curry traybake,"['butternut pumpkin', 'onion', 'tomato', 'chicken thigh', 'rice', 'coconut milk', 'lime', 'curry paste', 'tesapoons masala', 'vegetable']"
https://www.jamieoliver.com/recipes/lamb-recipes/rosemary-garlic-lamb-shoulder/,Rosemary & garlic lamb shoulder,"['lamb hogget', 'onion', 'flour', 'wine', 'veg mash', 'carrot', 'floury potato', 'parsnip']"
https://www.jamieoliver.com/recipes/fish-recipes/roasted-salmon-summer-veg-traybake/,Roasted salmon & veg traybake,"['potato', 'bean', 'tomato', 'salmon scaled', 'lemon', 'greek yoghurt']"
https://www.jamieoliver.com/recipes/seafood-recipes/sticky-sesame-prawns/,Sticky sesame prawns,"['carrot', 'cucumber', 'snow pea', 'tenderstem broccoli', 'rice noodle', 'lime', 'sesame', 'vegetable', 'banana king', 'onion', 'onion', 'cloudy apple', 'miso']"
https://www.jamieoliver.com/recipes/fish-recipes/dab-asparagus-bake/,Dab & asparagus bake,"['potato', 'lemon', 'dab', 'greek yoghurt', 'mature cheddar cheese', 'asparagus']"
https://www.jamieoliver.com/recipes/pasta-recipes/sausage-pasta-bake/,Sausage pasta bake,"['mature cheddar cheese', 'stale bread', 'sausage', 'plum tomato', 'rigatoni']"
https://www.jamieoliver.com/recipes/chicken-recipes/spicy-sticky-chicken/,Spicy sticky chicken,"['onion', 'plum tomato', 'chicken', 'masala', 'curry', 'wine', 'yoghurt']"
https://www.jamieoliver.com/recipes/game-recipes/bacon-wrapped-roast-partridge-pork-stuffing-lentils/,"Bacon-wrapped roast partridge, pork stuffing & lentils","['cranberry', 'onion', 'pork', 'vac', 'partridge', 'pancetta bacon', 'british ale', 'puy lentil', 'tomato', 'wine', 'spinach', 'blueberry jam', 'greek yoghurt']"
https://www.jamieoliver.com/recipes/game-recipes/slow-cooked-pigeon/,Slow-cooked pigeon,"['onion', 'carrot', 'pigeon', 'flour', 'wine', 'chicken stock']"
https://www.jamieoliver.com/recipes/vegetables-recipes/farro-cauliflower-amp-asparagus-salad/,"Farro, cauliflower & asparagus salad","['farro', 'cauliflower', 'asparagus', 'egg', 'raisin', 'beetroot other', 'chive', 'wine']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-lentil-salad-with-caper-dressing/,Chicken & lentil salad with caper dressing,"['chicken', 'lemon', 'lentil', 'swiss chard other', 'lemon', 'greek yoghurt']"
https://www.jamieoliver.com/recipes/game-recipes/chichinga-suya-goat-kebabs/,Chichinga: suya goat kebabs,"['kebab', 'kid goat', 'onion', 'vegetable', 'rub', 'peanut', 'vegetable']"
https://www.jamieoliver.com/recipes/game-recipes/goat-ragu/,Goat ragù,"['onion', 'plum tomato plum tomato', 'rice bran', 'sugar', 'kid goat butcher do', 'wine', 'tomato puree', 'beef stock', 'carrot', 'broccoli', 'butter']"
https://www.jamieoliver.com/recipes/game-recipes/ghanaian-goat-shoko/,Ghanaian goat shoko,"['onion', 'plum tomato plum tomato', 'rapeseed vegetable', 'serrano', 'goat', 'pierced scotch bonnet', 'broth beef stock', 'spinach']"
https://www.jamieoliver.com/recipes/vegetables-recipes/asian-vegetable-broth/,Asian vegetable broth,"['asian pak choy chinese cabbage', 'onion', 'lemongrass', 'star', 'clear vegetable stock', 'fish', 'teaspooon soy', 'shiso cress', 'lime']"
https://www.jamieoliver.com/recipes/chicken-recipes/hot-sour-chicken-broth/,Hot & sour chicken broth,"['shallot', 'lemongrass', 'onion', 'chicken breast', 'chicken vegetable stock', 'fish', 'lime', 'beansprouts']"
https://www.jamieoliver.com/recipes/eggs-recipes/sweet-potato-blue-cheese-frittata/,Sweet potato & blue cheese frittata,"['potato', 'onion', 'egg', 'blue cheese']"
https://www.jamieoliver.com/recipes/vegetables-recipes/butternut-squash-dal/,Butternut squash dal,"['onion', 'quick cook pea', 'butternut squash', 'creamed coconut', 'curry']"
https://www.jamieoliver.com/recipes/pasta-recipes/spinach-lasagne/,Spinach lasagne,"['butter', 'flour', 'milk', 'spinach', 'ricotta cheese', 'lasagne sheet', 'parmesan cheese']"
https://www.jamieoliver.com/recipes/vegetables-recipes/potato-rostis-with-beetroot-horseradish/,Potato rostis with beetroot horseradish,"['potato', 'onion', 'vegetable', 'beetroot', 'creamed horseradish']"
https://www.jamieoliver.com/recipes/lamb-recipes/irish-stew/,Irish stew,"['butter', 'lamb chump chop', 'onion', 'carrot', 'potato', 'pearl barley']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-noodle-soup/,Chicken noodle soup,"['celery heart', 'carrot', 'leek', 'onion', 'chicken', 'pasta shape']"
https://www.jamieoliver.com/recipes/vegetables-recipes/miso-soup-with-tofu-cabbage/,Miso soup with tofu & cabbage,"['chicken vegetable stock', 'savoy cabbage', 'carrot', 'miso paste', 'soy', 'silken tofu']"
https://www.jamieoliver.com/recipes/bread-recipes/easy-spelt-pizza/,Easy spelt pizza,"['wholegrain spelt flour dust', 'gluten', 'tesapoon', 'sugar', 'buttermilk', 'sunflower', 'egg', 'shallot', 'salmon', 'ricotta cheese', 'lemon']"
https://www.jamieoliver.com/recipes/vegetables-recipes/sweet-potato-white-bean-chilli/,Sweet potato & white bean chilli,"['potato', 'onion', 'cannellini bean', 'tomato']"
https://www.jamieoliver.com/recipes/seafood-recipes/clear-asian-noodle-soup-with-prawns/,Clear Asian noodle soup with prawns,"['egg use burford', 'rice noodle', 'chicken stock', 'soy', 'star', 'runner bean', 'carrot', 'king prawn', 'radish', 'onion', 'sesame']"
https://www.jamieoliver.com/recipes/vegetables-recipes/chilled-avocado-soup-with-tortilla-chips/,Chilled avocado soup with tortilla chips,"['avoacdo', 'cucumber', 'onion', 'vegetable stock chilled', 'yoghurt', 'lime', 'tabasco', 'micro chive', 'tortilla chip', 'tortilla']"
https://www.jamieoliver.com/recipes/vegetables-recipes/sweet-potato-coconut-cardamom-soup/,"Sweet potato, coconut & cardamom soup","['onion', 'potato', 'coconut milk', 'vegetable chicken stock', 'lemon', 'topping', 'jarred', 'spinach', 'mini poppadoms']"
https://www.jamieoliver.com/recipes/vegetables-recipes/beetroot-amp-tomato-borscht/,Beetroot & tomato borscht,"['onion', 'carrot', 'beetroot', 'celery', 'plum tomato', 'beef stock', 'tomato puree', 'caster sugar', 'very cabbage', 'tabelspoons cream']"
https://www.jamieoliver.com/recipes/pasta-recipes/spring-veg-pasta/,Spring veg pasta,"['asparagus', 'courgette', 'egg', 'creme fraiche', 'parmesan cheese', 'lemon', 'tagliatelle', 'pancetta']"
https://www.jamieoliver.com/recipes/vegetables-recipes/vegetable-tartlets/,Vegetable tartlets,"['block ready made puff pastry', 'flour', 'pesto', 'tomato', 'asparagus spear', 'courgette', 'jarred', 'ball mozzarella', 'parmesan cheese']"
https://www.jamieoliver.com/recipes/cheese-recipes/socca-pancakes-with-broccoli-cheese/,Socca pancakes with broccoli & cheese,"['flour', 'onion', 'broccoli', 'lemon', 'cheese', 'parmesan cheese']"
https://www.jamieoliver.com/recipes/chicken-recipes/asian-chicken-rice-balls-broth/,Asian chicken rice balls & broth,"['rice', 'onion', 'chicken thigh', 'lemongrass', 'kaffir lime', 'sunflower', 'king', 'miso paste', 'pak choi', 'mangetout', 'beansprouts', 'soy', 'lime']"
https://www.jamieoliver.com/recipes/seafood-recipes/nathan-outlaw-s-seafood-burger/,Nathan Outlaw’s seafood burger,"['shallot', 'cod fillet skinned', 'crabmeat', 'king prawn', 'gem lettuce', 'burger bun', 'pickled onion', 'wasabi mayonnaise', 'egg yolk', 'lemon', 'sunflower', 'wasabi wasabi paste', 'other peppery']"
https://www.jamieoliver.com/recipes/pork-recipes/pork-black-beans/,Pork & black beans,"['shaoxing rice wine', 'sesame', 'cornflour', 'soy', 'pork fillet', 'onion', 'asian', 'sugar', 'asian fermented bean', 'sesame']"
https://www.jamieoliver.com/recipes/vegetables-recipes/rojak/,Rojak,"['mango', 'radish', 'cucumber', 'pineapple', 'beansprouts', 'spinach', 'tofu', 'peanut', 'lime', 'sambal oelek', 'tesapoon', 'sugar']"
https://www.jamieoliver.com/recipes/fish-recipes/trout-with-ham-and-cider/,Trout with ham and cider,"['trout', 'ham', 'flour', 'butter', 'wineglass']"
https://www.jamieoliver.com/recipes/fish-recipes/salmon-with-young-garlic-amp-tomato-sauce/,Salmon with young garlic & tomato sauce,"['young you find young substitute', 'tomato', 'lemon', 'salmon fillet scaled']"
https://www.jamieoliver.com/recipes/eggs-recipes/quiche-leekraine/,Quiche leekraine,"['leek', 'bacon', 'cheddar cheese', 'egg', 'milk', 'precooked pastry case', 'salad']"
https://www.jamieoliver.com/recipes/fish-recipes/keralan-fish-curry/,Keralan fish curry,"['shallot', 'fish', 'curry', 'coconut milk', 'tomato']"
https://www.jamieoliver.com/recipes/seafood-recipes/malabar-prawn-curry/,Malabar prawn curry,"['onion', 'tomato', 'vegetable coconut', 'fenugreek', 'curry', 'tesapoon', 'tablepoon kokum pulp', 'king prawn', 'reduced coconut milk']"
https://www.jamieoliver.com/recipes/pork-recipes/pork-tonkatsu-and-noodles/,Pork tonkatsu & noodles,"['flour', 'egg', 'pork fillet', 'udon noodle', 'carrot', 'an asian pointed cabbage', 'soy', 'vegetable']"
https://www.jamieoliver.com/recipes/eggs-recipes/mexican-refried-beans/,Mexican refried beans,"['bean kidney', 'egg', 'lime']"
https://www.jamieoliver.com/recipes/seafood-recipes/asian-seafood-salad-with-yuzu-amp-sesame-dressing/,Asian seafood salad,"['soy', 'generous salad', 'edible flower', 'yuzu sesame', 'sesame', 'sesame', 'soy', 'yuzu', 'togarashi']"
https://www.jamieoliver.com/recipes/pasta-recipes/spaghetti-atterrati/,Spaghetti atterrati,"['fillet', 'tomato', 'spaghetti', 'parmesan cheese', 'topping', 'walnut havles']"
https://www.jamieoliver.com/recipes/vegetables-recipes/celeriac-quince-soup/,Celeriac & quince soup,"['celeriac', 'quince', 'banana shallot', 'chicken stock', 'sugar', 'walnut', 'creme fraiche']"
https://www.jamieoliver.com/recipes/bread-recipes/gluten-free-spring-flatbread-pizzas/,Gluten-free Spring flatbread pizzas,"['milk', 'sachet yeast', 'caster sugar', 'cornflour', 'rice flour', 'gluten xanthan gum', 'egg', 'bicarbonate', 'pea', 'cheese curd', 'lemon', 'courgette', 'polenta']"
https://www.jamieoliver.com/recipes/vegetables-recipes/raw-vegan-spag-bol/,Raw vegan spag bol,"['tomato', 'date', 'walnut', 'courgette', 'cauliflower', 'onion', 'carrot', 'celery', 'beetroot', 'tomato', 'lemon']"
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-paella/,Chicken ‘paella’,"['chorizo', 'onion', 'jarred piquillo', 'chicken drumettes', 'tomato puree', 'bomba paella rice', 'wine', 'chicken stock', 'pea', 'lemon']"
https://www.jamieoliver.com/recipes/beef-recipes/blue-cheese-apple-burger/,Blue cheese & apple burger,"['chuck steak', 'lettuce', 'cress', 'braeburn cox apple', 'blue cheese', 'burger bun', 'american']"
https://www.jamieoliver.com/recipes/beef-recipes/beef-amp-quince-stew/,Beef & quince stew,"['onion', 'quince', 'lemon', 'beef chuck butcher do', 'vine tomato', 'tomato passata', 'tomato puree', 'allspice berry', 'wineglass wine']"
https://www.jamieoliver.com/recipes/seafood-recipes/spanish-style-prawns-with-fennel/,Spanish-style prawns with fennel,"['tomato', 'wineglass wine', 'lemon']"
https://www.jamieoliver.com/recipes/seafood-recipes/prawn-chorizo-orzo/,Prawn & chorizo orzo,"['chorizo', 'passata', 'orzo', 'vine', 'king prawn']"
https://www.jamieoliver.com/recipes/beef-recipes/beef-stifado/,Beef stifado,"['stewing chuck top rump', 'onion', 'tomato tomato', 'tomato puree', 'marinade', 'allspice berry', 'wine', 'wine']"
https://www.jamieoliver.com/recipes/pasta-recipes/pasta-and-green-olives/,Pasta and green olives,"['orecchiette', 'passata']"
https://www.jamieoliver.com/recipes/pasta-recipes/world-s-most-elegant-winter-pasta/,World’s most elegant winter pasta,"['leek', 'cavolo curly kale savoy cabbage', 'pasta linguine spaghetti', 'parmesan cheese']"
https://www.jamieoliver.com/recipes/beef-recipes/chianti-crudo/,Chianti crudo,"['topside beef', 'lemon']"
https://www.jamieoliver.com/recipes/beef-recipes/beef-tacos/,Beef tacos,"['onion', 'beef', 'beef stock', 'taco', 'salsa', 'tomato', 'onion', 'lime', 'guacamole', 'avocado', 'lime', 'creme fraiche']"
https://www.jamieoliver.com/recipes/bread-recipes/quick-grilled-pizza/,Quick grilled pizza,"['strong bread flour', 'yeast', 'caster sugar', 'tomato']"
https://www.jamieoliver.com/recipes/fish-recipes/lemon-sole-with-runner-beans/,Lemon sole with runner beans,"['runner bean', 'lemon sole']"
https://www.jamieoliver.com/recipes/vegetables-recipes/tofu-chickpea-curry-with-spring-greens/,Tofu & chickpea curry with spring greens,"['onion', 'tofu', 'vegetable', 'tomato', 'chickpea', 'masala', 'lemon']"
https://www.jamieoliver.com/recipes/vegetables-recipes/spiced-aubergine-amp-coconut-curry/,Spiced aubergine & coconut curry,"['asian aubergine', 'onion', 'curry', 'tomato puree', 'masala', 'coconut milk', 'onion']"
https://www.jamieoliver.com/recipes/pasta-recipes/zesty-sardine-purple-kale-spaghetti/,Zesty sardine & purple kale spaghetti,"['spaghetti', 'sardine scaled', 'lemon', 'wine', 'purple kale', 'chervil']"
https://www.jamieoliver.com/recipes/chicken-recipes/leftover-chicken-with-tomatoes-amp-crispy-chorizo/,Leftover chicken with tomatoes & crispy chorizo,"['orange', 'onion', 'tomato', 'poached chicken', 'chicken stock', 'chorizo sausage', 'creme fraiche']"
https://www.jamieoliver.com/recipes/cheese-recipes/summer-vegetable-goat-s-cheese-frittata/,Summer vegetable & goat’s cheese frittata,"['bean', 'onion', 'defrosted pea broad', 'egg', 'butter', 'cheese', 'parmesan cheese']"
https://www.jamieoliver.com/recipes/pasta-recipes/sicilian-spaghetti-alla-norma/,Sicilian spaghetti alla Norma,"['aubergine', 'wine', 'plum tomato', 'wholewheat spaghetti', 'cheese']"
https://www.jamieoliver.com/recipes/fish-recipes/super-speedy-steamed-salmon/,Super-speedy steamed salmon,"['onion', 'tesapoon', 'couscous', 'tomato', 'salmon', 'lemon', 'yoghurt']"
https://www.jamieoliver.com/recipes/fish-recipes/spiced-sea-bass-with-caramelised-fennel/,Spiced sea bass with caramelised fennel,"['butter', 'seabass gutted', 'lemon']"
https://www.jamieoliver.com/recipes/chicken-recipes/roast-chicken-for-two/,Roast chicken for two,"['pear', 'an onion', 'chicken liver', 'vac', 'butter', 'brandy', 'cranberry', 'chicken', 'orange', 'unsmoked bacon']"
https://www.jamieoliver.com/recipes/fish-recipes/swordfish-cherry-tomatoes-amp-capers/,"Swordfish, cherry tomatoes & capers","['swordfish', 'tomato', 'lemon']"
https://www.jamieoliver.com/recipes/beef-recipes/beef-stroganoff/,Beef stroganoff,"['onion', 'lemon', 'mushroom', 'fillet steak', 'butter', 'glass brandy', 'cream']"
https://www.jamieoliver.com/recipes/fish-recipes/monkfish-with-spinach-feta/,Monkfish with spinach & feta,"['monkfish fillet', 'spinach', 'feta cheese', 'lemon']"
https://www.jamieoliver.com/recipes/seafood-recipes/mussels-with-guinness/,Mussels with Guinness,"['shallot', 'bacon', 'butter', 'mussel', 'guinness', 'double cream']"
